	Fetal_Gut	Immune_Bcell	Adult_UrinaryBladder	Adult_AdrenalGland	Immune_CD4	Fetal_Ovary	Adult_Colon	Fetal_Placenta	Adult_Esophagus	Fetal_Testis	Adult_FrontalCortex	Adult_GallBladder	Fetal_Brain	Adult_Heart	Adult_SpinalCord	Fetal_Heart	Adult_Kidney	Fetal_Liver	Adult_Retina	Adult_Liver	Immune_CD8	Adult_Rectum	Adult_Lung	Immune_Monocyte	Adult_Prostate	Adult_Ovary	Immune_NK	Adult_Pancreas	Immune_Platelet
LEISHMANIASIS%KEGG%HSA05140	0	1.8160734	0.9369833	0.91055304	1.5614759	0	2.3238654	0	0	0	0	2.0758572	0	0	1.336571	0	0	0	0	0	1.384467	0	2.0542622	2.4324825	1.7603016	0.6130727	1.9173019	1.133104	1.340375
INTERFERON ALPHA BETA SIGNALING%REACTOME%REACT_25162.1	0	1.8159851	1.4352793	1.0667436	2.2136343	0	1.5405041	0	0	0	0	1.0388478	0	0	0	0	0	0	0	0	1.6559087	0	2.3604817	2.1936355	1.4822696	1.1022254	2.0816548	0.9706688	1.2921361
BASE EXCISION REPAIR%KEGG%HSA03410	1.0783718	1.8152032	0	0	2.0956252	1.989811	0	0	0	1.5695229	0	0	1.2193438	0	0	1.3830975	0	1.4202943	1.1044713	0	1.5665609	0	0	1.2579802	0	1.2087071	1.531221	1.0923076	0
DNA-DEPENDENT DNA REPLICATION%GO%GO:0006261	1.7320879	1.8128898	0	0	1.9580723	1.9772555	0	0	0	1.6943656	0	0	1.00279	0	0	1.8411	0	1.8608615	0.9947986	0	1.6376889	0	0	1.5583433	0	1.2313191	1.5787014	0	0
REGULATION OF GENE EXPRESSION, EPIGENETIC%GO%GO:0040029	0.71329856	1.8074571	0	0	2.0170171	1.5089412	0	0	0	1.5874718	0	0	1.1600037	0	0	1.3576052	0	0.86250633	1.4210659	0	1.668244	0	0	1.1770962	0	1.2239662	1.3628129	1.0592173	0
ELONGATION ARREST AND RECOVERY%REACTOME%REACT_1892.2	1.2997047	1.8063343	0	0	1.8393943	1.8824164	0	0	0	1.6986203	0	0	0.791167	0	0	1.3360602	0	1.0657505	1.375402	0	1.55896	0	0	1.6545931	0	1.079666	1.8862914	0.9019584	0
PAUSING AND RECOVERY OF HIV-1 ELONGATION%REACTOME%REACT_6244.5	1.318697	1.8041073	0	0	1.8412489	1.8706094	0	0	0	1.6975032	0	0	0.7843713	0	0	1.3243427	0	1.0669993	1.3969038	0	1.5752064	0	0	1.630279	0	1.0764115	1.8824157	0.9127228	0
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRON-CONTAINING TRANSCRIPT%REACTOME%REACT_1597.3	1.3262688	1.8017681	0	0	2.339598	1.8962288	0	1.5251791	0	1.8158131	0	0	1.395238	0	0	1.4601372	0	1.5042337	1.5722795	0	2.0299213	0	0	1.8577896	0	1.5749863	2.235819	1.5578256	0
DNA REPLICATION%GO%GO:0006260	1.556118	1.8011456	0	0	1.9803028	1.7531791	0	0	0	1.8271027	0	0	1.1740963	0	0	1.5623794	0	1.7441522	0.9514842	0	1.612507	0	0	1.2691427	0	1.2632068	1.8156658	0.5781434	0
BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY	0	1.7987125	0	0	2.076067	0.5746946	0	0	0	0	1.6511123	0	1.318291	0	1.0734283	0	0	0	0	0	1.7525185	0	0	1.7419721	0	0	1.9312711	0	2.1195507
SPLICEOSOME%KEGG%HSA03040	1.7929779	1.7982593	0	0	2.380584	1.9918668	0	0	0	2.0353296	0	0	2.1063435	0	0	1.9431423	0	1.5777686	1.7377956	0	1.9885901	0	0	1.3640254	0	1.4768887	2.596059	1.4728944	0
REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN	0	1.7976547	0	0	1.4523813	1.2718455	0	0	0	1.1024233	0	0	1.1128277	0	0	1.4902084	0	1.0903234	1.0344727	0	1.6037915	0	0	1.6298673	0.77351904	1.1826952	1.9850794	0.9430694	0
NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GO%GO:0000289	0	1.7975636	0	0.85971874	1.6533118	1.437111	0	0.8946331	0	1.0818576	0	0	1.6301603	0	0	1.2755275	0	1.2260231	0	0	1.592505	0	0	1.1046948	0	1.3805073	1.0803154	1.1408776	0
GRANULOCYTE CHEMOTAXIS%GO%GO:0071621	0	1.7965605	1.8488282	0	0.90959626	0	1.8098906	0	0.89703506	0	0	1.4341763	0	0	0.9093888	0	0	0	0	1.3120046	1.2264024	1.793468	1.3213347	2.0979073	1.4053199	0	2.0971005	0.8618621	1.9236335
T CELL RECEPTOR SIGNALING PATHWAY%GO%GO:0050852	0	1.7956307	0	0	1.9921045	0	1.4664714	0	0	0	0	1.6775558	0	0	0	0	0	0	0	0	1.8150424	0	0	1.8033165	1.1354855	0	1.9929035	1.2371038	1.5988299
DEADENYLATION-DEPENDENT MRNA DECAY%REACTOME%REACT_20639.2	0.95508057	1.7938507	0	0	2.0606904	1.6580119	0	0	0	1.7662182	0	0	1.4806919	0	0	1.4348818	0	1.1862701	0.8146423	0	1.8399086	0	0	1.4459536	0	1.3218296	1.6780422	1.4124662	0
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%REACT_1477.2	1.8833411	1.789502	0	0	1.4024987	1.6605228	0	2.8074582	0	2.404263	0	0	1.4103539	0	0	2.017919	0	2.8407137	0	0	1.806215	0	0	0	0	1.5114923	0	2.3259885	0
HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6259.4	1.2784839	1.7889372	0	0	1.8371758	1.8767153	0	0	0	1.7046338	0	0	0.7844475	0	0	1.3291985	0	1.0579467	1.3796662	0	1.5711007	0	0	1.641985	0	1.0852103	1.8720076	0.8906204	0
RNA EXPORT FROM NUCLEUS%GO%GO:0006405	1.4931085	1.7867908	0	0	2.2023933	1.8085307	0	0	0	1.742365	0	0	1.8518649	0	0	1.3411645	0	1.3826213	1.6035138	0	2.0217495	0	0	1.4216468	0	1.6212581	2.2582645	1.2626418	0
BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY	0	1.785855	1.2932012	0	1.9786011	0.7721492	0	0	0	0	1.3169161	0	0	0	0	0	0	0	0.84347117	0	1.7215257	0	0	2.0694346	1.467412	1.0080589	1.7846006	1.3622277	1.472562
MRNA EXPORT FROM NUCLEUS%GO%GO:0006406	1.5696763	1.7845703	0	0	2.2466145	1.7850908	0	0	0	1.7602112	0	0	1.7627989	0	0	1.3157437	0	1.3839287	1.5913519	0	2.0258288	0	0	1.5833715	0	1.6112076	2.2005918	1.2275565	0
TRNA METABOLIC PROCESS%GO%GO:0006399	0	1.7845591	0	1.2880433	1.8680075	1.5322528	0	0	0	1.0996624	0.8556207	0	0	0	0	1.3595479	0	1.3073268	1.5844694	0	1.5832056	0	0	0	0	1.0692816	0	1.7446254	0
REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GO%GO:2000514	0	1.7839961	0.78494763	0.67747647	1.8503683	0	0.5766428	0.9114218	0	0	0.50234663	0	0	0	0.7506535	1.5493932	0	0	0	0	1.9137785	0.90554357	1.3236959	1.6135293	0.98697203	0	1.3980155	0	2.005293
T CELL COSTIMULATION%GO%GO:0031295	0	1.7834383	0	1.0815352	1.7158499	0	1.0325046	0	0	0	0.9845638	1.2797837	0	0	0.9866589	0	0	0	0	0	1.6228399	0	1.5467829	2.0526886	0.8205093	0	1.9661312	1.1302346	1.6103415
BIOCARTA_IL7_PATHWAY%MSIGDB_C2%BIOCARTA_IL7_PATHWAY	0	1.7833495	0.8743573	0	2.0365498	0.67605585	0	0	0	0	0	1.0535194	0	0	0	0	0	0	1.2185102	0	1.7818165	0	0	1.8002025	0	0	2.0082507	0.80751055	1.8414133
POSITIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GO%GO:0032481	0	1.7814347	1.1170316	0.7616504	1.6476673	0.889774	0	0	0	0	0	1.0439421	0	0	0	0.78096396	0	0	0.6846377	0	1.9787487	0	0	1.6858989	1.1820987	1.2215295	1.6859908	1.6443124	0
TRANSCRIPTION FROM RNA POLYMERASE III PROMOTER%GO%GO:0006383	1.1235023	1.7813727	0	0.8453722	1.6828543	1.9606944	0	0	0	1.3002158	0	0	0	0	0	1.2493707	0	0	1.6468	0	1.607543	0	0	0.68189037	0.65733826	1.1178255	1.4581633	1.2879366	0
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME%REACT_1768.5	0.8723184	1.7806226	0	0	1.9706479	2.1201143	0	0	0	1.7270883	0	0	0.6773682	0	0	1.7384183	0	1.0315588	1.34866	0	1.8218628	0	0	1.2289114	0	1.0598336	1.9325609	0.8570863	0
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GO%GO:0000288	0.9597407	1.7798074	0	0	2.0565243	1.6558615	0	0	0	1.7634419	0	0	1.4619186	0	0	1.4463056	0	1.1965028	0.81343055	0	1.850651	0	0	1.4679319	0	1.3081328	1.6635088	1.42453	0
BASE-EXCISION REPAIR%GO%GO:0006284	1.471505	1.777528	0	0	1.9813668	1.7511315	0	0	0	1.6207776	0	0	1.2963867	0	0	1.5673602	0	1.337901	1.3725559	0	1.621939	0	0	1.0698906	0	1.2254472	1.3900069	0.9279133	0
SISTER CHROMATID COHESION%GO%GO:0007062	0.85290563	1.776985	0	0	1.4687014	1.7637265	0	0	0	1.4399873	0	0	0	0	0	1.4567959	0	0.87062275	1.2559972	0	1.6171377	0	0	1.4904108	0	1.591845	1.8321462	1.192753	0
MITOCHONDRIAL TRNA AMINOACYLATION%REACTOME%REACT_15302.2	0	1.7765803	0	1.7265735	1.4189237	1.521735	0	0	0	1.068572	1.0249465	0	0	0	0	1.4044492	1.5050268	0	1.4522561	0	1.5291507	0	0	0	0	0.86754173	0	1.5294043	0
POST-ELONGATION PROCESSING OF THE TRANSCRIPT%REACTOME%REACT_78.3	1.4063605	1.776226	0	0	2.1581626	1.8242195	0	0	0	1.9432201	0	0	1.3891757	0	0	1.8338901	0	1.6697156	1.5887065	0	1.997757	0	0	1.43339	0	1.2717719	2.1603482	1.0651047	0
RESPONSE TO DNA DAMAGE STIMULUS%GO%GO:0006974	1.073399	1.7747204	0	0	2.0888686	1.5250922	0	0	0	1.6699743	0	0	1.0453503	0	0	1.4218315	0	1.3344082	1.2455378	0	1.764081	0	0	1.2121273	0	1.2040813	1.7008585	1.025444	0
POST-ELONGATION PROCESSING OF INTRONLESS PRE-MRNA%REACTOME%REACT_717.2	0.85673046	1.7742777	0	0	1.994646	2.1047156	0	0	0	1.7532388	0	0	0.6734444	0	0	1.7246463	0	1.0497906	1.3784988	0	1.8528407	0	0	1.2603451	0	1.0593606	1.9208897	0.8693363	0
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GO%GO:0070972	1.7171404	1.7740226	0	1.0433323	1.2485429	1.5730989	0	2.7090423	0	2.172385	0	0	1.1252351	0	0	1.7859814	0	2.5598037	0	1.39622	1.7331821	0	0	0	0	1.3512414	0	2.3334026	0
LYMPHOCYTE COSTIMULATION%GO%GO:0031294	0	1.7724451	0	1.0770285	1.7143235	0	1.0187143	0	0	0	0.97816235	1.2778192	0	0	0.9992055	0	0	0	0	0	1.6353078	0	1.5426557	2.061572	0.809544	0	1.9587297	1.1203874	1.6121472
RNA POLYMERASE II TRANSCRIPTION TERMINATION%REACTOME%REACT_894.2	1.3971041	1.7719663	0	0	2.1307712	1.8109411	0	0	0	1.9379038	0	0	1.4005744	0	0	1.8277248	0	1.6782504	1.6096952	0	1.9906569	0	0	1.4304214	0	1.280998	2.1199594	1.0763245	0
BIOCARTA_NKT_PATHWAY%MSIGDB_C2%BIOCARTA_NKT_PATHWAY	0	1.77126	1.0320742	2.030276	1.9602784	0.77680045	0	1.2163589	1.3090367	0.8109439	0.7164735	1.197967	0	1.3358619	0.93214804	0.5397801	0.91116714	1.4962474	0	1.2334119	1.7271247	1.4612372	1.04371	1.9386462	1.4268686	0	1.3858979	0	2.0685172
DEADENYLATION OF MRNA%REACTOME%REACT_20514.1	0	1.7704816	0	0.8586976	1.6543461	1.4397709	0	0.8954887	0	1.0991186	0	0	1.6106875	0	0	1.2484403	0	1.2125603	0	0	1.594975	0	0	1.1104219	0	1.3695728	1.0362638	1.1490581	0
POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GO%GO:0070665	1.0746208	1.7704486	1.4829906	0	1.554582	0	0.88019687	0.9803778	0	0.7461355	0	1.9297428	0	0	0	0	0	1.0487068	0	0	1.4092261	0	1.3586569	1.9451565	1.4967228	0	1.805905	1.3587973	1.7587073
TRANSLATION%GO%GO:0006412	1.3453823	1.7704307	0	1.3465124	1.7495613	1.6154573	0	1.8055269	0	1.8553987	0	0	0.9817428	0	0	1.9241273	0	2.2339375	0	0	1.7811623	0	0	0	0	1.279191	0	1.971541	0
NOD1 2 SIGNALING PATHWAY%REACTOME%REACT_75776.1	0	1.7681669	1.1536672	0	1.7907434	0.58792615	1.2161227	0	0	0	1.1088022	0	0	0	0	0	0	0	0.9236642	0	1.7865196	0	0	1.5054396	0.75851756	0.61850697	1.4661095	1.3208817	1.4529818
TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME%REACT_27161.1	1.0668293	1.7681298	0	0	1.9309512	1.2502809	0	0	0	1.3592546	0	1.0493668	0.9364191	0	0	1.3670417	0	0	0.76890194	0	1.6794071	0	0	2.1044605	1.2602539	0.77461106	1.8865179	1.1734113	0
RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%REACT_281.3	1.0971951	1.7638351	0	0.9593252	1.6964788	1.927956	0	0	0	1.2951357	0	0	0	0	0	1.1668847	0	0	1.7195275	0	1.6056631	0	0	0.61588496	0.7485302	1.1868309	1.6184899	1.1418948	0
REGULATION OF ALPHA-BETA T CELL ACTIVATION%GO%GO:0046634	1.1166052	1.7621812	0.4440279	0.7320161	1.7247198	0	0.57491183	1.1610798	0	0	0	0.87542725	0	0	0.86653566	1.1150706	1.4178517	0.7813765	0.51571524	0	1.767016	0.485875	1.3920473	1.7674375	0.59752375	0	1.2668786	0.65532905	1.7024144
PAUSING AND RECOVERY OF TAT-MEDIATED HIV-1 ELONGATION%REACTOME%REACT_6143.5	1.3506775	1.7619743	0	0	1.8449415	1.8574736	0	0	0	1.7185025	0	0	0.7993975	0	0	1.3240254	0	1.0946059	1.3638281	0	1.564155	0	0	1.6767449	0	1.1104184	1.8952508	0.85346687	0
DNA REPLICATION%KEGG%HSA03030	1.8388709	1.7591497	0	0	2.0570734	2.0822146	0	0	0	1.9033612	0	0	1.3730853	0	0	1.8540103	0	2.0562847	0	0	1.6632645	0	0	1.919835	0	1.0163883	1.6509206	0	0
SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS%GO%GO:0016445	1.2006769	1.7590269	0	0.6073865	1.5271568	1.6675519	0	0	0	1.4680808	0	0	0.90041655	0	0	1.41362	0	1.0823584	1.163121	0	1.5639812	0	0	0.8444908	0	1.3326695	0.9506696	1.273825	0
REGULATION OF GENE SILENCING%GO%GO:0060968	1.4887639	1.7585287	0	0	1.6981478	1.4246938	0	1.5695748	0	1.7203193	0	0	1.4732397	0	0	1.8612213	0	1.880176	0.9979002	0	1.7591294	0	0	0	0.84633917	1.4156501	1.823201	0.9573186	0
NEGATIVE REGULATION OF NUCLEAR DIVISION%GO%GO:0051784	0.6961205	1.7560998	0	0	1.6928874	1.5905547	0	0	0	1.3277366	0	0	1.3721163	0	0	1.2071105	0	1.0136467	0.9683862	0	1.3461599	0	0	0.9187565	0	1.5229819	1.1184559	1.087173	0
TRANSLATIONAL ELONGATION%GO%GO:0006414	1.8265021	1.7560061	0	0	1.4168456	1.6697508	0	2.6396184	0	2.290384	0	0	1.3147331	0	0	2.0061898	0	2.7107244	0	0	1.8117092	0	0	0	0	1.4889064	0	2.273355	0
REGULATION OF REPRODUCTIVE PROCESS%GO%GO:2000241	1.101881	1.7551433	0	0.93542016	1.826415	1.3418947	0	0	0	1.4609046	0	0	0.7646435	0	0	1.1487396	0	0.81721425	1.0092006	0	1.625723	0	0	1.6795806	0	1.3651229	1.8531016	1.1660202	0
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%REACT_15344.1	0	1.7551363	0	1.1598902	1.3125685	0	0.7817007	1.7691393	0.78177387	0	0	1.1514889	0	1.1816157	1.5192616	1.1878337	1.7378376	1.6226524	0	1.4116293	1.4558408	0	1.6947072	2.0176742	1.0081934	0.9901406	2.135549	0	2.6669495
AMINOACYL-TRNA BIOSYNTHESIS%KEGG%HSA00970	0	1.7541242	0	1.27442	1.669468	1.5564585	0	0	0	0	1.5172906	0	0	0	0	1.4802518	0	1.17496	1.546557	0	1.5686644	0	0	0	0	1.198955	0	1.7010598	0
HISTONE H3 ACETYLATION%GO%GO:0043966	1.0096974	1.7540554	0	0	2.0635092	1.5056934	0	0	0	1.2690274	0	0	1.1997955	0	0	1.1101601	0	0.58804893	1.405903	0	1.7825838	0	0	0.88543785	0	0.9196816	1.7042626	0.66080487	0
MRNA TRANSPORT%GO%GO:0051028	1.5702609	1.75323	0	0	2.2098446	1.792904	0	0	0	1.7297529	0	0	1.7935939	0	0	1.3400992	0	1.3343003	1.6003673	0	1.9888735	0	0	1.5327451	0	1.6331491	2.1638322	1.2376211	0
BIOCARTA_FCER1_PATHWAY%MSIGDB_C2%BIOCARTA_FCER1_PATHWAY	0	1.7525909	0	0	1.670558	0.7294687	0	0	0	0	1.5671515	0	1.5096883	0	0.9939315	0	0	0	0.59649587	0	1.6189711	0	0	1.7646837	0	0	1.6768084	0	1.8771889
NEGATIVE REGULATION OF DNA METABOLIC PROCESS%GO%GO:0051053	0.92422235	1.7499244	0	0.5978618	1.8624631	1.3438531	0	0	0	1.5261102	0	0	1.0445665	0	0	1.3240502	0	0.8876882	0.89899874	0	1.962522	0	0	1.402358	0	1.204464	1.8828143	0.9412783	0
PROTEIN DEACETYLATION%GO%GO:0006476	0.9298203	1.7492255	0	0.9317626	1.5935853	1.3881058	0	0	0	0.9979196	0	0	0.82327265	0	0	1.3449476	0	0.87952477	1.3079042	0	1.582736	0	0	0.71016634	0	1.2507821	1.6103212	0.5771521	0
E2F TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E2F TRANSCRIPTION FACTOR NETWORK	1.2496425	1.7486949	0	0	1.3363379	1.4483098	0	0	0	1.4939724	0	0	1.1003317	0	0	1.5070267	0	1.393197	0.79496163	0	1.447864	0	0	1.348898	0	1.1791773	1.7046084	0.85599715	0
TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY%GO%GO:0034162	0	1.7471352	1.5053004	0	1.7655003	0.9018605	0	0	0	0.7531352	0.9653121	0	0.86993545	0	0	0.827436	0	0	0.8843161	0	1.7766691	0	0	1.698038	1.4667364	1.1131425	1.4318458	1.1331042	0
HISTONE UBIQUITINATION%GO%GO:0016574	0.930666	1.7458539	0	0.6504215	1.9052862	1.2889903	0	0	0	1.6950713	0	0	1.4373468	0	0	0.9586294	0	1.3417873	1.5592449	0	1.3352089	0	0	1.3137304	0	1.0576324	1.4826597	0	0
DEFENSE RESPONSE TO VIRUS%GO%GO:0051607	0	1.7457362	1.5865421	0.891488	1.961196	0.9087429	0.73077315	0	0	0.96417505	0	0.8823991	0	0	0	0	0	0	0	0	1.7593141	0	1.4391316	1.8785454	0.94020224	1.3035811	1.9401317	1.0942342	0
BIOCARTA_DC_PATHWAY%MSIGDB_C2%BIOCARTA_DC_PATHWAY	1.1046171	1.7453127	0.81034553	0.5147276	1.1631795	0	0.6031891	1.0181725	0	0.9604268	0.48073524	1.7638608	0.55450165	0	0.7576325	0	0.8262007	0.74134725	0	0.9740265	1.5465958	1.1518263	1.2060021	2.1235938	1.2521774	0	1.9722546	1.3066138	1.043686
TAT-MEDIATED HIV-1 ELONGATION ARREST AND RECOVERY%REACTOME%REACT_6344.4	1.3099568	1.7443168	0	0	1.8407029	1.8632739	0	0	0	1.7519516	0	0	0.8010645	0	0	1.3582841	0	1.0972826	1.3523138	0	1.561891	0	0	1.6774772	0	1.0968016	1.9467702	0.8671145	0
REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GO%GO:1902099	0	1.7441189	0	0	1.6574316	1.6173131	0	0	0	1.3067466	0	0	1.2280874	0	0	1.1206461	0	1.0727923	1.1692786	0	1.4015304	0	0	0.9785336	0.7717982	1.5083498	1.3075488	1.0270259	0
RESPONSE TO INTERFERON-GAMMA%GO%GO:0034341	0	1.7428406	0	1.1014558	1.4803256	0	1.9302447	0	0	0	0	1.6109805	0	0	0	0	0	0	0	0	1.3515259	0	2.3892877	1.8926258	1.7827016	0.9479807	1.7618377	1.2171617	0
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION%GO%GO:0050907	0.8301787	1.7405885	1.9660674	0.91735107	1.4659027	0.70696837	0	0	0	0	1.4882324	1.3415622	0	0	0	0	0	1.5055302	2.2596412	0	1.1412421	0	0.9366896	0	0	1.6269138	1.6500096	1.0473149	2.3073921
TNFSF1%IOB%TNFSF1	0	1.7386881	2.0940268	0	2.1203146	0	0.8458195	0	0	0	0	1.6701084	0	0	0	1.1108909	0	0	0	0	1.659424	0	0	1.0179595	1.9886937	1.0972914	1.7539284	1.3850917	0.62056077
PROTEIN SUMOYLATION%GO%GO:0016925	1.1061368	1.7386347	0	0	1.1485391	1.6777365	0	0	0	1.5648876	0	0	1.4955949	0	0	1.1863282	0	1.2898543	1.2660125	0	1.6118864	0	0	0	0	1.3752282	1.7036402	1.2682943	0
DNA DEALKYLATION%GO%GO:0035510	0.6408482	1.7384565	0	0.9335415	1.8361325	1.2060696	0	0	0	1.7345883	0	0	0	0	0	0.98541546	0	0.9511915	1.0120165	0	1.5031722	0	0	0.93677807	0	1.2812662	1.1338725	1.1041511	0
REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GO%GO:0030071	0	1.7375714	0	0	1.649483	1.6179653	0	0	0	1.3185941	0	0	1.2129658	0	0	1.1118517	0	1.108051	1.1661334	0	1.3900162	0	0	0.9742438	0.7708052	1.5081779	1.3039755	1.0134426	0
NUCLEAR IMPORT%GO%GO:0051170	0	1.7375013	0	0.989273	1.7455857	1.3282604	0	0	0	1.0059497	0	0	1.0285232	0	0	1.0667678	0	0	1.3384234	0	1.3903139	0	0	0.81311935	0	1.4476422	1.1733962	0.8986877	1.205174
RIG-I MDA5 MEDIATED INDUCTION OF IFN-ALPHA BETA PATHWAYS%REACTOME%REACT_25359.1	0	1.7372043	1.1221869	0	1.7318447	0.7498923	0.8694808	0	0	0.87295604	0	0	0	0	0	0	0	0	0.79363203	0	1.7756919	0	0	1.5740428	0.9660356	1.2090535	1.6934268	1.0733536	1.4306515
BIOCARTA_CASPASE_PATHWAY%MSIGDB_C2%BIOCARTA_CASPASE_PATHWAY	1.255383	1.7365273	0	0	1.9055735	0.70044565	0.8955158	0	0	0.5395345	0	0.68984014	0	0	0	1.0317245	0	0.69329506	0.8553503	0	1.6528281	0.85533434	1.0783764	1.2979186	0.6445122	0	1.6495678	1.5368634	0.9741079
TNFSF8%IOB%TNFSF8	0	1.7364182	1.6411378	0	1.768508	0	0.82822776	0	0	0	0	0.89729595	0	0	0	0.72512686	0	0	0.60222495	0	1.7623376	0	0	1.3887472	1.252004	1.0271277	1.9060857	1.1070143	1.2588435
POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GO%GO:0050671	1.1385435	1.7361467	1.5845088	0	1.5321844	0	0.9679972	0.9470885	0	0.78578204	0	1.8643594	0	0	0.60568726	0	0	0.9814342	0	0	1.3758543	0.78950304	1.3987275	1.9176186	1.5675364	0	1.7823831	1.3412062	1.6737838
BIOCARTA_ATM_PATHWAY%MSIGDB_C2%BIOCARTA_ATM_PATHWAY	0.70656466	1.7352043	0.9522764	0	1.5191576	1.278346	0.6536458	0	0	0.8848303	0	0.9661678	0	0	0	0.82726604	0	0.93551475	0	0	1.8669202	0	0	1.3709577	1.3522975	1.4688269	1.4057142	1.460115	0
MEIOSIS%GO%GO:0007126	1.0055113	1.7343277	0	0	1.3872653	1.8135896	0	0	0	1.4255024	0	0	1.1135441	0	0	1.2308954	0	1.1563238	1.1325159	0	1.3273216	0	0	1.2845746	0	1.6614238	1.6933643	0.58946604	0
CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION%REACTOME%REACT_387.3	1.398007	1.7334409	0	0	2.166051	1.8229835	0	0	0	1.9422721	0	0	1.4008929	0	0	1.8037921	0	1.6421204	1.5975375	0	2.0176446	0	0	1.4543597	0	1.283947	2.1492364	1.0810436	0
HISTONE DEACETYLATION%GO%GO:0016575	0.74195623	1.7319206	0	0.8186072	1.5819902	1.2957674	0	0	0	1.0622779	0	0	1.0345792	0	0	1.208447	0	0.7685486	1.1756626	0	1.6700499	0	0	0.81243986	0	1.3412219	1.6348574	0.66011363	0
BIOCARTA_RELA_PATHWAY%MSIGDB_C2%BIOCARTA_RELA_PATHWAY	0	1.73009	1.6393629	0	2.0566902	0.80918175	0	0	0	0	0	1.0695373	0	0	0	0.8207281	0	0	0	0	1.8355805	0	0	2.1109793	0.90800506	1.1034484	2.1100564	0.7812562	1.1174464
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME%REACT_75790.2	0	1.7298707	0	0	1.863149	0	1.0613769	0	0	0	0	0	0	0	0	0	0	0	0.8171888	0	1.6060975	0	0	1.9548898	1.2178664	1.062555	1.9474131	1.062819	1.2909178
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%REACT_6261.3	1.3727695	1.7297117	0	0	1.8591329	1.9348615	0	0	0	1.8005334	0	0	0	0	0	1.2343562	0	0.76108456	1.4711533	0	1.6201377	0	0	1.6167538	0	1.2252635	1.9631335	0.8326266	0
PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE%GO%GO:0002440	1.4430193	1.7292106	0	0.7266119	1.3403969	1.3191149	0	0	0	1.0894341	0	0	0.8408775	0	0	0.77005446	0	0.6810749	0.9938112	0	1.4210725	0	1.2055144	1.4005483	0	1.1994435	1.2765253	1.4574237	0
PROTEIN MONOUBIQUITINATION%GO%GO:0006513	1.0118114	1.7282678	0	0	1.7416468	1.3564516	0	0	0	1.5970775	0	0	1.395629	0	0	1.1067327	0	1.105345	1.4437281	0	1.4319913	0	0	1.1098795	0	1.1138712	1.5708275	0	0
POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GO%GO:0032946	1.1394138	1.7272825	1.5556978	0	1.5277922	0	0.9598382	0.91501504	0	0.78853315	0	1.8448056	0	0	0.61991924	0	0	0.99583775	0	0	1.3884363	0.8023849	1.4076165	1.8964672	1.5747461	0	1.7892168	1.3310534	1.6702749
METABOLISM OF RNA%REACTOME%REACT_21257.2	1.4635019	1.727147	0	0	2.0348446	1.704828	0	2.0153804	0	2.120657	0	0	1.6071993	0	0	1.8045294	0	1.9298208	0.8565984	0	1.7839805	0	0	0	0	1.4794207	1.213963	1.6092349	0
TRNA AMINOACYLATION%GO%GO:0043039	0	1.726949	0	1.3822271	1.7804633	1.6335418	0	0	0	0.97731566	1.2604083	0	0	0	0	1.4712191	0	1.2299373	1.5840724	0	1.4747766	0	0	0	0	1.0675337	0	1.747171	0
